Book,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,Elig,Sire Of Dam
4,8,2429,"Vinery Sales, Agent XLVII ",,Four Rivers,,B,Filly,Four Rivers,Sharp Azteca,My Fast Friend,,,,,Out,0,,
4,8,2430,"Shawhan Place LLC, Agent for Glendalough LLC ",,Lucky Freedom,,B,Filly,Lucky Freedom,American Freedom,My Lucky Spell,,,,,"Gerry O'Meara, Agent",24000,,
4,8,2431,"Bluegrass Thoroughbred Services Inc., Agent VI ",,Utah Beach,,GR/RO,Colt,Utah Beach,English Channel,My Own Story,,,,,Out,0,,
4,8,2432,"Shawhan Place LLC, Agent II ",,Main Line Cipher,,DB/BR,Colt,Main Line Cipher,Honor Code,My Philly Girl,,,,,Out,0,,
4,8,2433,"Warrendale Sales, Agent VI ",,My Pi Ride,,DB/BR,Colt,My Pi Ride,Candy Ride (ARG),My Pi Romancer,,,,,Delta Bloodstock,30000,,
4,8,2434,Sam-Son Farm ,,Pioneer Mission,,B,Filly,Pioneer Mission,Pioneerof the Nile,Mythical Mission,,,,,CJ Thoroughbreds,295000,,
4,8,2435,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Zayayin,,GR/RO,Colt,Zayayin,Cairo Prince,Nandira,,,,,Aureliano Noguez,12000,,
4,8,2436,Calumet Farm ,,Western Moon,,DB/BR,Colt,Western Moon,Ransom the Moon,Nebraska,,,,,"R.N.A. (47,000)",---,,
4,8,2437,"Mill Ridge Sales, Agent ",,Chadron,,B,Colt,Chadron,Arrogate,Nebraska Tornado,,,,,Out,0,,
4,8,2438,"St George Sales, Agent XXI ",,Man Child,,DB/BR,Colt,Man Child,Creative Cause,Neck of the Moon,,,,,Matthew Dohman,45000,,
4,8,2439,"Paramount Sales, Agent XLII ",,Lady Luise,,CH,Filly,Lady Luise,Oscar Performance,Nesselrode,,,,,"R.N.A. (45,000)",---,,
4,8,2440,"Stuart Morris, Agent I ",,Nolita,,DB/BR,Filly,Nolita,Laoban,Nicole's Miss El,,,,,Pick View,85000,,
4,8,2441,"St George Sales, Agent XXI ",,Hot Date,,GR/RO,Filly,Hot Date,Cairo Prince,Nippy,,,,,"H. H., Agent",62000,,
4,8,2442,"Brandywine Farm (Jim & Pam Robinson), Agent I ",,Abbreviation,,CH,Filly,Abbreviation,Constitution,No Acronyms,,,,,"Chad Schumer, Agent",57000,,
4,8,2443,"Royal Oak Farm (Damian & Braxton Lynch), Agent ",,Theroanrunner,,GR/RO,Filly,Theroanrunner,Liam's Map,Noelle's Mischief,,,,,Wayne Sanders & Kat Kirk,150000,,
4,8,2444,"Stuart Morris, Agent for Highclere ",,Kid Azteca,,GR/RO,Colt,Kid Azteca,Sharp Azteca,No More Misery,,,,,Out,0,,
4,8,2445,"Cross Keys Sales LLC, Agent II ",,Always Chillin,,B,Filly,Always Chillin,Always Dreaming,No Panic,,,,,Grassroots Training & Sales ,30000,,
4,8,2446,"Hidden Brook, Agent XX ",,Maroon Beret,,DB/BR,Colt,Maroon Beret,Mo Town,No Vacancy,,,,,Kazakov,15000,,
4,8,2447,"Four Star Sales, Agent ",,She's My Louie V.,,DB/BR,Filly,She's My Louie V.,Violence,One More,,,,,Carrol Castille,52000,,
4,8,2448,"Paramount Sales, Agent L ",,Moon Wish,,CH,Colt,Moon Wish,Malibu Moon,One More Wish,,,,,Superfine Farm,85000,,
4,8,2449,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent X ",,Dolce Sopresa,,B,Filly,Dolce Sopresa,Maclean's Music,One On Tap,,,,,John Di Scola,130000,,
4,8,2450,"Mill Ridge Sales, Agent ",,Romance Pelusa,,B,Filly,Romance Pelusa,Hard Spun,One Time Only,,,,,Hablan Los Caballos LLC,12000,,
4,8,2451,"Mill Ridge Sales, Agent ",,Best Oscar,,DB/BR,Colt,Best Oscar,Oscar Performance,Onzaway,,,,,Jose Caraballo,4000,,
4,8,2452,"Bona Terra Stud, Agent ",,Enchanted Rider,,B,Filly,Enchanted Rider,Shaman Ghost,Our Josephina,,,,,White Birch Farm,270000,,
4,8,2453,"Taylor Made Sales Agency, Agent XXXVIII ",,Classic Creation,,CH,Colt,Classic Creation,Classic Empire,Our Pure Creation,,,,,Out,0,,
4,8,2454,"Bluegrass Thoroughbred Services Inc., Agent for Merriebelle Stable, LLC",,Flying Hunter,,B,Colt,Flying Hunter,Maclean's Music,Owl Moon,,,,,K & E Bloodstock,85000,,
4,8,2455,"Taylor Made Sales Agency, Agent CLXI ",,Miss J D,,B,Filly,Miss J D,American Pharoah,Paquita Coqueta (CHI),,,,,West Bloodstock,150000,,
4,8,2456,"Paramount Sales, Agent X ",,Royal Words,,DB/BR,Filly,Royal Words,Distorted Humor,Parting Words,,,,,"R.N.A. (37,000)",---,,
4,8,2457,"Hidden Brook, Agent XV ",,Big Popper,,B,Colt,Big Popper,Good Magic,Paschali,,,,,Woodford Thoroughbreds,100000,,
4,8,2458,"Hidden Brook, Agent II ",,Brooklyn Dreams,,B,Colt,Brooklyn Dreams,Always Dreaming,Patience Love,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",40000,,
4,8,2459,"St George Sales, Agent IV ",,Beauty to Behold,,CH,Filly,Beauty to Behold,Hard Spun,Picturesque,,,,,Out,0,,
4,8,2460,"Bona Terra Stud, Agent ",,Varsity,,B,Colt,Varsity,Mucho Macho Man,Pilaf,,,,,Martin Racing,90000,,
4,8,2461,"James M. Herbener Jr., Agent III ",,Petro Lady,,CH,Filly,Petro Lady,Lord Nelson,Platinum Preferred,,,,,Bob Grayson,32000,,
4,8,2462,"Stone Farm, Agent ",,Super Saver --- Ponder Lea,,DB/BR,Colt,,Super Saver,Ponder Lea,,,,,"Legacy Equine Group, Agt for Golden East Horse LLC",37000,,
4,8,2463,"Paramount Sales, Agent XXXVIII ",,Act a Fool,,DB/BR,Colt,Act a Fool,Oscar Performance,Post Script,,,,,Vince J. Foglia,100000,,
4,8,2464,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ",,Starship Odyssey,,GR/RO,Filly,Starship Odyssey,Uncle Mo,Prancing,,,,,Vortex Racing,40000,,
4,8,2465,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Unifieds Princess,,DB/BR,Filly,Unifieds Princess,Unified,Predictress,,,,,John C Minchello,9000,,
4,8,2466,"Taylor Made Sales Agency, Agent LXI ",,Carolo,,CH,Colt,Carolo,Munnings,Princess Taylor (GB),,,,,St. George Stable LLC,37000,,
4,8,2467,"Taylor Made Sales Agency, Agent CXLVI ",,Wild Acclaim,,B,Filly,Wild Acclaim,Flatter,Prodicious Facts,,,,,Dennis Park,67000,,
4,8,2468,Brandywine Farm (Jim & Pam Robinson) ,,Hadlees Honor,,DB/BR,Colt,Hadlees Honor,Honor Code,Promenade Star,,,,,Jet Horse LLC,70000,,
4,8,2469,"Mill Ridge Sales, Agent for Woodslane Farm ",,Oscar Eclipse,,B,Colt,Oscar Eclipse,Oscar Performance,Prospector's Moon,,,,,Out,0,,
4,8,2470,"Nicky Drion Thoroughbreds, Agent ",,Zul Hija,,B,Filly,Zul Hija,Good Samaritan,Pure Ride,,,,,Black Stone Farm,27000,,
4,8,2471,"Four Star Sales, Agent ",,It Wasn't Me,,B,Filly,It Wasn't Me,Blame,Purple Trillium,,,,,Martin Schwartz,145000,,
4,8,2472,"James B. Keogh (Grovendale), Agent V ",,Qia,,DB/BR,Filly,Qia,Mendelssohn,Qiaona,,,,,"R.N.A. (42,000)",---,,
4,8,2473,"Brookdale Sales, Agent ",,Six Sense,,DB/BR,Filly,Six Sense,Violence,Qualia,,,,,Solis/Litt,225000,,
4,8,2474,"Hidden Brook, Agent XI ",,Delphia,,B,Filly,Delphia,Mucho Macho Man,Quality Diamond,,,,,"Donato Lanni, Agent for X-Men Racing",45000,,
4,8,2475,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Matro,,B    ,Colt,Matro,Girvin,Quality Included,,,,,Korina Stable LLC / Gustavo Ravelo,11000,,
4,8,2476,"Cara Bloodstock (Bernard McCormack), Agent ",,British Artillery,,CH,Colt,British Artillery,English Channel,Queen Martha,,,,,Legion Bloodstock. Agent for Barbara Minshall,30000,,
4,8,2477,"Indian Creek, Agent ",,Kavala,,GR/RO,Filly,Kavala,Mohaymen,Queen of Silence,,,,,Korina Stable LLC / Gustavo Ravelo,30000,,
4,8,2478,"Ballysax Bloodstock, Agent XIV ",,Undo the Right,,B,Filly,Undo the Right,Funtastic,Quick Split,,,,,Out,0,,
4,8,2479,"Woodford Thoroughbreds, Agent CLXII ",,Frosty Holiday,,DB/BR,Colt,Frosty Holiday,Frosted,Quiet Holiday,,,,,Ernie Kuehne,85000,,
4,8,2480,"Vinery Sales, Agent VI ",,Oxymore,,DB/BR,Colt,Oxymore,Astern (AUS),Rainbow Dreams,,,,,Adam Rice,30000,,
4,8,2481,"St George Sales, Agent X ",,Cookie Bandit,,B,Filly,Cookie Bandit,Honor Code,Raise the Flag,,,,,Gary Broad / Walmac Farm,57000,,
4,8,2482,Brandywine Farm (Jim & Pam Robinson) ,,Salta,,B    ,Colt,Salta,Carpe Diem,Rapid Decision,,,,,"Flynt Fesmire, Agent for CaSal Stable LLC",25000,,
4,8,2483,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent III ",,Bad Chemistry,,GR/RO,Filly,Bad Chemistry,Unified,Ravi's Song,,,,,Sam Aguiar,32000,,
4,8,2484,"James B. Keogh (Grovendale), Agent III ",,Maimon,,CH,Colt,Maimon,Collected,Ready and Good,,,,,Eric Antonio Delvalle,130000,,
4,8,2485,"Warrendale Sales, Agent for Steven and Brandi Nicholson ",,Reina Bella,,GR/RO,Filly,Reina Bella,Frosted,Rever de Vous,,,,,Andrew McKenzie,32000,,
4,8,2486,"Burleson Farms, Agent ",,Hero Mo,,B    ,Colt,Hero Mo,Mo Town,Rockin,,,,,Black Stone Farm,27000,,
4,8,2487,"Taylor Made Sales Agency, Agent CXLVI ",,Rockin to the Boss,,B,Filly,Rockin to the Boss,Street Boss,Rock Wall (IRE),,,,,B L Transport,52000,,
4,8,2488,"St George Sales, Agent V ",,Lily Mistress,,GR/RO,Filly,Lily Mistress,Tapwrit,Roman Mistress,,,,,Out,0,,
4,8,2489,"Hidden Brook, Agent XVII ",,Millers Rite,,B,Colt,Millers Rite,Cairo Prince,Romantic Frolic,,,,,Michael J. and Linda Mazoch,40000,,
4,8,2490,"Brookdale Sales, Agent ",,Maptitude,,B,Colt,Maptitude,Liam's Map,Room for Aptitude,,,,,P. Maguire,65000,,
4,8,2491,"Indian Creek, Agent ",,Single Dot Yaht,,B,Colt,Single Dot Yaht,Good Magic,Rote,,,,,"Taproot Bloodstock, LLC",150000,,
4,8,2492,"Vinery Sales, Agent X ",,Andthewinneris,,B,Colt,Andthewinneris,Oscar Performance,Run Like the Boss,,,,,"R.N.A. (67,000)",---,,
4,8,2493,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ",,Racing,,DB/BR,Filly,Racing,Candy Ride (ARG),Running Wild,,,,,D. B. Stable,50000,,
4,8,2494,"Stone Farm, Agent ",,Super Cindy,,DB/BR,Filly,Super Cindy,Super Saver,Rutherienne,,,,,Travis Murphy,30000,,
4,8,2495,Stone Farm ,,Twirling Express,,B    ,Colt,Twirling Express,Twirling Candy,Ruthville,,,,,Andrew Dean,140000,,
4,8,2496,"Four Star Sales, Agent ",,My Butterfly,,DB/BR,Filly,My Butterfly,Sharp Azteca,Rutledge Ballado,,,,,Susan Naylor Sellers,70000,,
4,8,2497,"South Point Sales Agency, Agent I ",,Gracie Dance,,DB/BR,Filly,Gracie Dance,Super Saver,Salad Mood,,,,,Danielle Agnello,25000,,
4,8,2498,"Taylor Made Sales Agency, Agent CLXXVIII ",,Slumpbuster,,B,Colt,Slumpbuster,Empire Maker,Salten Sapity,,,,,Reagan Bregman,15000,,
4,8,2499,"Taylor Made Sales Agency, Agent CLXX ",,No More Salt,,B,Colt,No More Salt,Kantharos,Salty Not Sweet,,,,,"R.N.A. (27,000)",---,,
4,8,2500,"Stone Farm, Agent ",,Jor El,,B    ,Colt,Jor El,Accelerate,Sara's Cape,,,,,"R.N.A. (19,000)",---,,
4,8,2501,"Anderson Farms, Agent ",,Collectively,,B    ,Filly,Collectively,Collected,Sassy Ali Joy,,,,,Matthew Dohman,150000,,
4,8,2502,"Warrendale Sales, Agent XVII ",,Vamos Viejo,,DB/BR,Colt,Vamos Viejo,Practical Joke,Saucy Symphony,,,,,Luis Gavignano,100000,,
4,8,2503,"Sheppell Thoroughbreds, Agent ",,Practical Clowns,,B,Colt,Practical Clowns,Practical Joke,School Board Prez,,,,,Albert Davis,65000,,
4,8,2504,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Umar Din,,GR/RO,Colt,Umar Din,Gun Runner,Seattle Grey,,,,,Black Stone Farm,25000,,
4,8,2505,"Small Batch Sales, Agent for Walmac Farm, LLC ",,Raddad,,B    ,Colt,Raddad,Bernardini,Secretarial Queen,,,,,Thoro Ventures,80000,,
4,8,2506,"Taylor Made Sales Agency, Agent CXLVI ",,Armavir,,B,Colt,Armavir,Runhappy,Secrets Shared,,,,,Kazakov,62000,,
4,8,2507,"Taylor Made Sales Agency, Agent CXLVI ",,Masterwork,,CH,Colt,Masterwork,Mastery,Seeking Paradise,,,,,R K G Racing,11000,,
4,8,2508,"Indian Creek, Agent ",,Baseline Beater,,DB/BR,Colt,Baseline Beater,Flatter,Seize the Ring,,,,,"Lothenbach Stables, Inc.",130000,,
4,8,2509,"Four Star Sales, Agent ",,T. T.'s Women,,B,Filly,T. T.'s Women,Sharp Azteca,She's Roughin It,,,,,Gentry Farms,115000,,
4,8,2510,"Paramount Sales, Agent LXXVIII ",,Arak,,CH,Colt,Arak,Munnings,Shoot the Moon,,,,,Summit Equines LLC,70000,,
4,8,2511,"Paramount Sales, Agent LXXXI ",,Restrict,,CH,Colt,Restrict,Collected,Short Squeeze,,,,,"R.N.A. (49,000)",---,,
4,8,2512,"Vinery Sales, Agent XXXII ",,Shotgun Janester,,B,Filly,Shotgun Janester,Speightster,Shotgun Jane,,,,,Out,0,,
4,8,2513,"Sheppell Thoroughbreds, Agent ",,John Grey,,GR/RO,Colt,John Grey,Bolt d'Oro,Significant Bling,,,,,Redwings,90000,,
4,8,2514,"Blandford Stud (Padraig Campion), Agent ",,Onasa,,B    ,Colt,Onasa,Always Dreaming,Silent Candy,,,,,"Mike Pender, Agent",25000,,
4,8,2515,"Warrendale Sales, Agent for Sandra Sexton and Silver Fern Farm",,Song of America,,CH,Filly,Song of America,American Pharoah,Singavictorysong,,,,,Eric Antonio Delvalle,90000,,
4,8,2516,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Alfa Basss,,B    ,Filly,Alfa Basss,Summer Front,Sing Lady Sing,,,,,"R.N.A. (14,000)",---,,
4,8,2517,Sam-Son Farm ,,Speed Trap,,GR/RO,Filly,Speed Trap,Bernardini,Siren's Song,,,,,"Ben McElroy, Agent",300000,,
4,8,2518,"Stuart Morris, Agent for Morgan's Ford Farm ",,Skip to My Lute,,DB/BR,Filly,Skip to My Lute,Midnight Lute,Skipalong,,,,,"Jeffrey Bloom, Agent",40000,,
4,8,2519,"Vinery Sales, Agent for Spendthrift Farm LLC ",,Wave Skipper,,DB/BR,Filly,Wave Skipper,Lord Nelson,Skipalute,,,,,Jeffery L. Greenhill,57000,,
4,8,2520,"Brookdale Sales, Agent for Jack Swain ",,Silver Sky,,DB/BR,Filly,Silver Sky,Twirling Candy,Skye Silver,,,,,Out,0,,
4,8,2521,"Serendipity Farm, Agent V ",,Mr. Gordy,,B,Colt,Mr. Gordy,Mo Town,Sky Trail,,,,,R. L. Glosson,35000,,
4,8,2522,Brandywine Farm (Jim & Pam Robinson) ,,Shiny Slam,,DB/BR,Filly,Shiny Slam,Lord Nelson,Slam's Honor,,,,,Victoria's Ranch,42000,,
4,8,2523,"Paramount Sales, Agent XCII ",,An Awesome Legacy,,B,Filly,An Awesome Legacy,Kantharos,Slim Fit,,,,,"Patrick Swan, Agent",32000,,
4,8,2524,"Paramount Sales, Agent XXIII ",,Lucky Gin,,B    ,Filly,Lucky Gin,Lookin At Lucky,Slow Gin,,,,,Bryan Hawk,33000,,
4,8,2525,"Four Star Sales, Agent ",,Alimento,,CH,Colt,Alimento,Klimt,Small Kitchen,,,,,Elusive Thoroughbreds,65000,,
4,8,2526,"Taylor Made Sales Agency, Agent XII ",,Towhead,,CH,Filly,Towhead,Malibu Moon,Smartly Agree,,,,,Pura Vida Racing,100000,,
4,8,2527,"Hidden Brook, Agent XII ",,Run for Karl,,GR/RO,Colt,Run for Karl,Frosted,Smokey Diplomacy,,,,,Eric Antonio Delvalle,40000,,
4,8,2528,"Four Star Sales, Agent ",,Backside Buzz,,CH,Colt,Backside Buzz,Connect,Smooth Caramel,,,,,Michael J. and Linda Mazoch,35000,,
4,8,2529,"Woodford Thoroughbreds, Agent LXXIX ",,Mo Snow,,DB/BR,Colt,Mo Snow,Nyquist,Snow Mesa,,,,,Bob Grayson,70000,,
4,8,2530,"Cara Bloodstock, Agent for Saintsbury Farms Inc. (Christine & Jay Hayden)",,Jersey Doll,,B,Filly,Jersey Doll,West Coast,Sonic Cyster,,,,,Jorge E. Gonzalez Rey,27000,,
4,8,2531,"Blandford Stud (Padraig Campion), Agent ",,Diamond District,,CH   ,Filly,Diamond District,Street Boss,Sparkling Stream,,,,,Six Column Stables,55000,,
4,8,2532,"Ballysax Bloodstock, Agent XIV ",,Starteca,,B    ,Filly,Starteca,Sharp Azteca,Starry Expectation,,,,,Wayne Sanders & Kat Kirk,40000,,
4,8,2533,"Taylor Made Sales Agency, Agent LXXXIII ",,Mendelssohn --- Status,,CH,Colt,,Mendelssohn,Status,,,,,"R.N.A. (37,000)",---,,
4,8,2534,"Serendipity Farm, Agent MDCCCXII ",,Cloudy Bay,,B,Filly,Cloudy Bay,Cloud Computing,Stella Prima,,,,,J. Mitchell McMahon,25000,,
4,8,2535,"James B. Keogh (Grovendale), Agent I ",,Stomping Moon,,B,Colt,Stomping Moon,Malibu Moon,Stomping,,,,,"Mac Robertson, Agt. for Novogratz Racing Stables ",95000,,
4,8,2536,Sierra Farm ,,Rabbit Kantharos,,DB/BR,Colt,Rabbit Kantharos,Kantharos,Streetheart,,,,,Shamington Farms,17000,,
4,8,2537,Sam-Son Farm ,,Crimson Sonata,,DB/BR,Filly,Crimson Sonata,Mendelssohn,Strike Red,,,,,"Gayle Van Leer, Agent",120000,,
4,8,2538,Sam-Son Farm ,,Best Year Ever,,DB/BR,Filly,Best Year Ever,Hard Spun,Strike Right Now,,,,,Moon Suk Han,25000,,
4,8,2539,"Paramount Sales, Agent XXIII ",,Frosty Wind,,B,Colt,Frosty Wind,West Coast,Striking Damsel,,,,,Kazakov,7000,,
4,8,2540,"South Point Sales Agency, Agent XV ",,Candy Bar,,B,Filly,Candy Bar,Constitution,Sugar Babe,,,,,"Sallusto & Albina, Agent for Thorostock",135000,,
4,8,2541,"Stone Farm, Agent ",,Lakeside Music,,CH,Filly,Lakeside Music,Super Saver,Summer Sweet,,,,,James Spicer,27000,,
4,8,2542,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ",,Sortaria,,B,Filly,Sortaria,Into Mischief,Sundown,,,,,Lynwood Stable,42000,,
4,8,2543,"Indian Creek, Agent ",,Remastered,,CH,Colt,Remastered,Mastery,Sunrise Glow,,,,,"Brilliant Racing LLC / Brandon Stauble, Agent",30000,,
4,8,2544,"Warrendale Sales, Agent for Sandra Sexton and Silver Fern Farm",,Tizzy Tantrum,,B,Colt,Tizzy Tantrum,Tiznow,Sweet Temper,,,,,"Lothenbach Stables, Inc.",90000,,
4,8,2545,"Candy Meadows Sales, Agent I ",,Master Skills,,DB/BR,Colt,Master Skills,Mastery,Swing and Sway,,,,,Out,0,,
4,8,2546,"Hidden Brook, Agent V ",,Autism's Ribbon,,DB/BR,Filly,Autism's Ribbon,Exaggerator,Taleoftheprincess,,,,,Johnny Taboada,20000,,
4,8,2547,"Mulholland Springs, Agent VIII ",,Granato,,DB/BR,Filly,Granato,Nyquist,Tamarack Gal,,,,,"Legion Bloodstock, Agt. for R. Hahn/R. Nicoli",90000,,
4,8,2548,"Taylor Made Sales Agency, Agent XX ",,Make 'Em Tap,,GR/RO,Colt,Make 'Em Tap,Empire Maker,Taperge,,,,,Angel Castillo,37000,,
4,8,2549,"Warrendale Sales, Agent for Sandra Sexton and Silver Fern Farm",,No Tappin Out,,CH,Filly,No Tappin Out,Kantharos,Tap Tap Tapping,,,,,Kings Equine,30000,,
4,8,2550,"Hidden Brook, Agent XIX ",,Colecta,,B,Filly,Colecta,Collected,Tell All,,,,,Aldo Pedraglio Belmont,30000,,
4,8,2551,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Urgent Fury,,GR/RO,Colt,Urgent Fury,Creative Cause,Tell Me Again,,,,,WSS Racing,80000,,
4,8,2552,"Woodford Thoroughbreds, Agent CXLIII ",,Exhibit Hall,,CH,Filly,Exhibit Hall,Munnings,Tensas Harbor,,,,,"Quarter Pole Enterprises, LLC",250000,,
4,8,2553,"Paramount Sales, Agent XCVI ",,Hard But Smart,,DB/BR,Filly,Hard But Smart,Hard Spun,That's Smart,,,,,Jeff Metz,21000,,
4,8,2554,"Cross Keys Sales LLC, Agent I ",,Merry Blue,,DB/BR,Filly,Merry Blue,Macho Uno,That's Why,,,,,"Boomer Bloodstock, Agent",37000,,
4,8,2555,"Taylor Made Sales Agency, Agent CXV ",,Half a Chance,,B,Filly,Half a Chance,Flatter,Third Chance,,,,,"CJ Thoroughbreds / Ben McElroy, Agent",150000,,
4,8,2556,"Taylor Made Sales Agency, Agent XXXI ",,E Minor,,B,Colt,E Minor,Mendelssohn,Thmoruplathlesupay,,,,,Out,0,,
4,8,2557,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,Love Rhapsody,,CH,Filly,Love Rhapsody,Collected,Tizasong,,,,,Out,0,,
4,8,2558,"Crowning Point Farm, Agent ",,Showgirl Lynne B,,CH,Filly,Showgirl Lynne B,Constitution,Tizcat Clax,,,,,Westlake Racing Stable,40000,,
4,8,2559,"Warrendale Sales, Agent for Stonestreet Bred & Raised ",,Master of the Nile,,DB/BR,Colt,Master of the Nile,Pioneerof the Nile,Tonasah,,,,,"R.N.A. (20,000)",---,,
4,8,2560,"Brookdale Sales, Agent ",,Jazzed Up,,DB/BR,Colt,Jazzed Up,Violence,Too Much Prada,,,,,Reeves Thoroughbred Racing,160000,,
4,8,2561,"Taylor Made Sales Agency, Agent CLXXVIII ",,Big Sense,,B,Colt,Big Sense,Street Sense,Touching Beauty,,,,,Adalberto Lozano - Triple A Racing Stable,55000,,
4,8,2562,"Indian Creek, Agent ",,Oscar Award,,B,Colt,Oscar Award,Oscar Performance,Trade Agreement,,,,,Nancy Ross,40000,,
4,8,2563,"Blandford Stud (Padraig Campion), Agent ",,Dazzlingdominika,,CH,Filly,Dazzlingdominika,Ghostzapper,Trappingsofsilver,,,,,Ready Made Racing,30000,,
4,8,2564,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,To Thyself B True,,GR/RO,Filly,To Thyself B True,Girvin,True Martha,,,,,Matthew Dohman,40000,,
4,8,2565,"Mulholland Springs, Agent IV ",,Halfway to Nowhere,,B,Filly,Halfway to Nowhere,American Pharoah,Tzawonderfulspring,,,,,Jamey Thomas,30000,,
4,8,2566,"Ballysax Bloodstock, Agent XVII ",,Mr. American,,B,Colt,Mr. American,American Freedom,Unanimous Decision,,,,,Out,0,,
4,8,2567,"James B. Keogh (Grovendale), Agent X ",,Mendelssohns March,,DB/BR,Colt,Mendelssohns March,Mendelssohn,Unappeased (IRE),,,,,"Kenneth McPeek, Agent",110000,,
4,8,2568,"Warrendale Sales, Agent for Sandra Sexton and Silver Fern Farm",,Kell's Bells,,B,Colt,Kell's Bells,Mo Town,Unbridled Appeal,,,,,Out,0,,
4,8,2569,"Warrendale Sales, Agent XXXV ",,Zafiro Anejo,,B,Colt,Zafiro Anejo,Kantharos,Unbridled Reward,,,,,J. Keith Desormeaux,70000,,
4,8,2570,"Blandford Stud (Padraig Campion), Agent ",,Frosted Departure,,GR/RO,Colt,Frosted Departure,Frosted,Undeterred,,,,,"Kenneth McPeek, Agent",100000,,
4,8,2571,"Paramount Sales, Agent XXIV ",,Demon Deacon,,B,Colt,Demon Deacon,Honor Code,Vacation Travel,,,,,Out,0,,
4,8,2572,"Buckland Sales (Zach Madden), Agent XII ",,Steady Progress,,DB/BR,Colt,Steady Progress,Practical Joke,Vegas Trip,,,,,Pick View,22000,,
4,8,2573,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Baby Sox,,CH   ,Filly,Baby Sox,Collected,Vercruysse,,,,,"R.N.A. (17,000)",---,,
4,8,2574,"Four Star Sales, Agent for D.C. Goff ",,Big Sur,,DB/BR,Colt,Big Sur,West Coast,Verna Lea,,,,,"Greg Foley, Agent and Brilliant Racing",95000,,
4,8,2575,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Mountain Laurel,,B    ,Filly,Mountain Laurel,McCraken,Very Nice,,,,,"R.N.A. (47,000)",---,,
4,8,2576,"Nicky Drion Thoroughbreds, Agent ",,Salty Rooster,,CH,Colt,Salty Rooster,Klimt,Virtuously,,,,,Royal Flush Racing,50000,,
4,8,2577,"Lantern Hill Farm LLC, Agent ",,New Art,,B    ,Colt,New Art,Tapwrit,Warrior Song,,,,,Calumet Farm,60000,,
4,8,2578,"Serendipity Farm, Agent ",,Always Sun,,B,Filly,Always Sun,Always Dreaming,War Value,,,,,Antonio Sano,25000,,
4,8,2579,"Burleson Farms, Agent ",,Gun of Gold,,CH,Filly,Gun of Gold,Gun Runner,Web o' Gold,,,,,Out,0,,
4,8,2580,"Hermitage Farm, Agent ",,Sir Robert Hall,,CH,Colt,Sir Robert Hall,Lord Nelson,Weekend Romance,,,,,Summit Equines LLC,42000,,
4,8,2581,"St George Sales, Agent XVIII ",,Al Marmoom Gate,,B,Colt,Al Marmoom Gate,Arrogate,Whirl,,,,,Tally Ho Stud,50000,,
4,8,2582,"Brookdale Sales, Agent ",,Okay Fine,,B    ,Filly,Okay Fine,Empire Maker,Whisper Louise,,,,,Kings Equine,50000,,
4,8,2583,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,Ramos,,B    ,Colt,Ramos,Mastery,Why Not More,,,,,Ready Made Racing,37000,,
4,8,2584,"Taylor Made Sales Agency, Agent CLXXIV ",,Wild Army Brat,,B,Filly,Wild Army Brat,Army Mule,Wild At Midnight,,,,,"Legion Bloodstock, Agt. for R. Hahn/R. Nicoli",120000,,
4,8,2585,"Warrendale Sales, Agent XXV ",,D' wild Panther,,B,Filly,D' wild Panther,Tiznow,Wild Bird,,,,,Roberto Ortiz de Paz,22000,,
4,8,2586,"South Point Sales Agency, Agent XXII ",,Whiskeymac,,DB/BR,Colt,Whiskeymac,Collected,Winter Cheer,,,,,Bella Racing,18000,,
4,8,2587,"Four Star Sales, Agent ",,A Nite in Cairo,,DB/BR,Filly,A Nite in Cairo,Cairo Prince,With Pleasure,,,,,String Music Thoroughbreds,87000,,
4,8,2588,"Hidden Brook, Agent XXX ",,Starship Lola,,DB/BR,Filly,Starship Lola,Always Dreaming,Wonderfuladventure,,,,,"R.N.A. (17,000)",---,,
4,8,2589,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Taxed,,GR/RO,Filly,Taxed,Collected,Yankee Union,,,,,Verza Real Estate Group LLC,27000,,
